age,sex,citizen,hispan,n
54,female,born abroad of american parents,not hispanic,201
54,female,born abroad of american parents,mexican,10
54,female,born abroad of american parents,puerto rican,3
54,female,born abroad of american parents,cuban,2
54,female,born abroad of american parents,other,15
54,female,naturalized citizen,not hispanic,1628
54,female,naturalized citizen,mexican,364
54,female,naturalized citizen,puerto rican,6
54,female,naturalized citizen,cuban,78
54,female,naturalized citizen,other,317
55,male,born abroad of american parents,not hispanic,211
55,male,born abroad of american parents,mexican,20
55,male,born abroad of american parents,puerto rican,3
55,male,born abroad of american parents,other,10
55,male,naturalized citizen,not hispanic,1418
55,male,naturalized citizen,mexican,423
55,male,naturalized citizen,puerto rican,5
55,male,naturalized citizen,cuban,84
55,male,naturalized citizen,other,269
55,female,born abroad of american parents,not hispanic,219
55,female,born abroad of american parents,mexican,14
55,female,born abroad of american parents,puerto rican,1
55,female,born abroad of american parents,other,9
55,female,naturalized citizen,not hispanic,1645
55,female,naturalized citizen,mexican,373
55,female,naturalized citizen,puerto rican,11
55,female,naturalized citizen,cuban,75
55,female,naturalized citizen,other,378
56,male,born abroad of american parents,not hispanic,202
56,male,born abroad of american parents,mexican,17
56,male,born abroad of american parents,puerto rican,4
56,male,born abroad of american parents,cuban,1
56,male,born abroad of american parents,other,7
56,male,naturalized citizen,not hispanic,1424
56,male,naturalized citizen,mexican,422
56,male,naturalized citizen,puerto rican,4
56,male,naturalized citizen,cuban,84
56,male,naturalized citizen,other,305
56,female,born abroad of american parents,not hispanic,216
56,female,born abroad of american parents,mexican,19
56,female,born abroad of american parents,puerto rican,1
56,female,born abroad of american parents,cuban,4
56,female,born abroad of american parents,other,10
56,female,naturalized citizen,not hispanic,1576
56,female,naturalized citizen,mexican,382
56,female,naturalized citizen,puerto rican,7
56,female,naturalized citizen,cuban,101
56,female,naturalized citizen,other,429
57,male,born abroad of american parents,not hispanic,199
57,male,born abroad of american parents,mexican,16
57,male,born abroad of american parents,puerto rican,2
57,male,born abroad of american parents,cuban,1
57,male,born abroad of american parents,other,10
57,male,naturalized citizen,not hispanic,1349
57,male,naturalized citizen,mexican,372
57,male,naturalized citizen,puerto rican,2
57,male,naturalized citizen,cuban,93
57,male,naturalized citizen,other,280
57,female,born abroad of american parents,not hispanic,232
57,female,born abroad of american parents,mexican,17
57,female,born abroad of american parents,puerto rican,2
57,female,born abroad of american parents,cuban,1
57,female,born abroad of american parents,other,9
57,female,naturalized citizen,not hispanic,1495
57,female,naturalized citizen,mexican,380
57,female,naturalized citizen,puerto rican,3
57,female,naturalized citizen,cuban,84
57,female,naturalized citizen,other,370
58,male,born abroad of american parents,not hispanic,209
58,male,born abroad of american parents,mexican,12
58,male,born abroad of american parents,puerto rican,3
58,male,born abroad of american parents,cuban,3
58,male,born abroad of american parents,other,13
58,male,naturalized citizen,not hispanic,1359
58,male,naturalized citizen,mexican,353
58,male,naturalized citizen,puerto rican,3
58,male,naturalized citizen,cuban,84
58,male,naturalized citizen,other,296
58,female,born abroad of american parents,not hispanic,224
58,female,born abroad of american parents,mexican,14
58,female,born abroad of american parents,puerto rican,4
58,female,born abroad of american parents,cuban,3
58,female,born abroad of american parents,other,12
58,female,naturalized citizen,not hispanic,1562
58,female,naturalized citizen,mexican,343
58,female,naturalized citizen,puerto rican,3
58,female,naturalized citizen,cuban,88
58,female,naturalized citizen,other,337
59,male,born abroad of american parents,not hispanic,246
59,male,born abroad of american parents,mexican,8
59,male,born abroad of american parents,puerto rican,4
59,male,born abroad of american parents,other,10
59,male,naturalized citizen,not hispanic,1325
59,male,naturalized citizen,mexican,391
59,male,naturalized citizen,puerto rican,8
59,male,naturalized citizen,cuban,73
59,male,naturalized citizen,other,291
59,female,born abroad of american parents,not hispanic,242
59,female,born abroad of american parents,mexican,13
59,female,born abroad of american parents,puerto rican,3
59,female,born abroad of american parents,cuban,2
59,female,born abroad of american parents,other,18
59,female,naturalized citizen,not hispanic,1616
59,female,naturalized citizen,mexican,347
59,female,naturalized citizen,puerto rican,7
59,female,naturalized citizen,cuban,72
59,female,naturalized citizen,other,369
60,male,born abroad of american parents,not hispanic,212
60,male,born abroad of american parents,mexican,8
60,male,born abroad of american parents,puerto rican,2
60,male,born abroad of american parents,cuban,3
60,male,born abroad of american parents,other,8
60,male,naturalized citizen,not hispanic,1347
60,male,naturalized citizen,mexican,345
60,male,naturalized citizen,puerto rican,3
60,male,naturalized citizen,cuban,75
60,male,naturalized citizen,other,263
60,female,born abroad of american parents,not hispanic,229
60,female,born abroad of american parents,mexican,14
60,female,born abroad of american parents,puerto rican,1
60,female,born abroad of american parents,cuban,2
60,female,born abroad of american parents,other,8
60,female,naturalized citizen,not hispanic,1596
60,female,naturalized citizen,mexican,353
60,female,naturalized citizen,puerto rican,7
60,female,naturalized citizen,cuban,93
60,female,naturalized citizen,other,339
61,male,born abroad of american parents,not hispanic,213
61,male,born abroad of american parents,mexican,17
61,male,born abroad of american parents,puerto rican,3
61,male,born abroad of american parents,other,15
61,male,naturalized citizen,not hispanic,1340
61,male,naturalized citizen,mexican,317
61,male,naturalized citizen,puerto rican,8
61,male,naturalized citizen,cuban,77
61,male,naturalized citizen,other,260
61,female,born abroad of american parents,not hispanic,197
61,female,born abroad of american parents,mexican,17
61,female,born abroad of american parents,other,5
61,female,naturalized citizen,not hispanic,1653
61,female,naturalized citizen,mexican,360
61,female,naturalized citizen,puerto rican,7
61,female,naturalized citizen,cuban,78
61,female,naturalized citizen,other,347
62,male,born abroad of american parents,not hispanic,193
62,male,born abroad of american parents,mexican,10
62,male,born abroad of american parents,puerto rican,3
62,male,born abroad of american parents,cuban,3
62,male,born abroad of american parents,other,8
62,male,naturalized citizen,not hispanic,1311
62,male,naturalized citizen,mexican,290
62,male,naturalized citizen,puerto rican,4
62,male,naturalized citizen,cuban,89
62,male,naturalized citizen,other,238
62,female,born abroad of american parents,not hispanic,229
62,female,born abroad of american parents,mexican,11
62,female,born abroad of american parents,puerto rican,2
62,female,born abroad of american parents,cuban,1
62,female,born abroad of american parents,other,9
62,female,naturalized citizen,not hispanic,1514
62,female,naturalized citizen,mexican,316
62,female,naturalized citizen,puerto rican,5
62,female,naturalized citizen,cuban,67
62,female,naturalized citizen,other,299
63,male,born abroad of american parents,not hispanic,197
63,male,born abroad of american parents,mexican,9
63,male,born abroad of american parents,other,9
63,male,naturalized citizen,not hispanic,1351
63,male,naturalized citizen,mexican,308
63,male,naturalized citizen,puerto rican,5
63,male,naturalized citizen,cuban,62
63,male,naturalized citizen,other,221
63,female,born abroad of american parents,not hispanic,220
63,female,born abroad of american parents,mexican,13
63,female,born abroad of american parents,puerto rican,1
63,female,born abroad of american parents,cuban,1
63,female,born abroad of american parents,other,8
63,female,naturalized citizen,not hispanic,1522
63,female,naturalized citizen,mexican,308
63,female,naturalized citizen,puerto rican,6
63,female,naturalized citizen,cuban,79
63,female,naturalized citizen,other,311
64,male,born abroad of american parents,not hispanic,171
64,male,born abroad of american parents,mexican,12
64,male,born abroad of american parents,puerto rican,2
64,male,born abroad of american parents,other,11
64,male,naturalized citizen,not hispanic,1215
64,male,naturalized citizen,mexican,288
64,male,naturalized citizen,puerto rican,4
64,male,naturalized citizen,cuban,59
64,male,naturalized citizen,other,217
64,female,born abroad of american parents,not hispanic,193
64,female,born abroad of american parents,mexican,9
64,female,born abroad of american parents,puerto rican,2
64,female,born abroad of american parents,other,6
64,female,naturalized citizen,not hispanic,1487
64,female,naturalized citizen,mexican,324
64,female,naturalized citizen,puerto rican,6
64,female,naturalized citizen,cuban,76
64,female,naturalized citizen,other,291
65,male,born abroad of american parents,not hispanic,143
65,male,born abroad of american parents,mexican,15
65,male,born abroad of american parents,cuban,1
65,male,born abroad of american parents,other,6
65,male,naturalized citizen,not hispanic,1262
65,male,naturalized citizen,mexican,257
65,male,naturalized citizen,puerto rican,3
65,male,naturalized citizen,cuban,68
65,male,naturalized citizen,other,198
65,female,born abroad of american parents,not hispanic,178
65,female,born abroad of american parents,mexican,8
65,female,born abroad of american parents,puerto rican,1
65,female,born abroad of american parents,cuban,2
65,female,born abroad of american parents,other,4
65,female,naturalized citizen,not hispanic,1430
65,female,naturalized citizen,mexican,279
65,female,naturalized citizen,puerto rican,2
65,female,naturalized citizen,cuban,71
65,female,naturalized citizen,other,263
66,male,born abroad of american parents,not hispanic,141
66,male,born abroad of american parents,mexican,5
66,male,born abroad of american parents,puerto rican,2
66,male,born abroad of american parents,cuban,1
66,male,born abroad of american parents,other,8
66,male,naturalized citizen,not hispanic,1310
66,male,naturalized citizen,mexican,298
66,male,naturalized citizen,puerto rican,4
66,male,naturalized citizen,cuban,58
66,male,naturalized citizen,other,212
66,female,born abroad of american parents,not hispanic,168
66,female,born abroad of american parents,mexican,3
66,female,born abroad of american parents,puerto rican,2
66,female,born abroad of american parents,cuban,2
66,female,born abroad of american parents,other,3
66,female,naturalized citizen,not hispanic,1454
66,female,naturalized citizen,mexican,267
66,female,naturalized citizen,puerto rican,6
66,female,naturalized citizen,cuban,84
66,female,naturalized citizen,other,251
67,male,born abroad of american parents,not hispanic,103
67,male,born abroad of american parents,mexican,12
67,male,born abroad of american parents,puerto rican,1
67,male,born abroad of american parents,cuban,1
67,male,born abroad of american parents,other,3
67,male,naturalized citizen,not hispanic,1162
67,male,naturalized citizen,mexican,221
67,male,naturalized citizen,puerto rican,4
67,male,naturalized citizen,cuban,76
67,male,naturalized citizen,other,177
67,female,born abroad of american parents,not hispanic,119
67,female,born abroad of american parents,mexican,7
67,female,born abroad of american parents,cuban,1
67,female,born abroad of american parents,other,6
67,female,naturalized citizen,not hispanic,1367
67,female,naturalized citizen,mexican,264
67,female,naturalized citizen,puerto rican,5
67,female,naturalized citizen,cuban,81
67,female,naturalized citizen,other,251
68,male,born abroad of american parents,not hispanic,93
68,male,born abroad of american parents,mexican,11
68,male,born abroad of american parents,puerto rican,2
68,male,born abroad of american parents,cuban,1
68,male,born abroad of american parents,other,5
68,male,naturalized citizen,not hispanic,1115
68,male,naturalized citizen,mexican,255
68,male,naturalized citizen,puerto rican,6
68,male,naturalized citizen,cuban,63
68,male,naturalized citizen,other,171
68,female,born abroad of american parents,not hispanic,99
68,female,born abroad of american parents,mexican,7
68,female,born abroad of american parents,puerto rican,1
68,female,born abroad of american parents,cuban,2
68,female,born abroad of american parents,other,5
68,female,naturalized citizen,not hispanic,1302
68,female,naturalized citizen,mexican,292
68,female,naturalized citizen,puerto rican,4
68,female,naturalized citizen,cuban,86
68,female,naturalized citizen,other,250
69,male,born abroad of american parents,not hispanic,105
69,male,born abroad of american parents,mexican,13
69,male,born abroad of american parents,other,3
69,male,naturalized citizen,not hispanic,1170
69,male,naturalized citizen,mexican,218
69,male,naturalized citizen,puerto rican,1
69,male,naturalized citizen,cuban,56
69,male,naturalized citizen,other,175
69,female,born abroad of american parents,not hispanic,96
69,female,born abroad of american parents,mexican,13
69,female,born abroad of american parents,cuban,2
69,female,born abroad of american parents,other,4
69,female,naturalized citizen,not hispanic,1353
69,female,naturalized citizen,mexican,202
69,female,naturalized citizen,puerto rican,5
69,female,naturalized citizen,cuban,69
69,female,naturalized citizen,other,230
70,male,born abroad of american parents,not hispanic,97
70,male,born abroad of american parents,mexican,9
70,male,born abroad of american parents,cuban,3
70,male,born abroad of american parents,other,2
70,male,naturalized citizen,not hispanic,1059
70,male,naturalized citizen,mexican,191
70,male,naturalized citizen,puerto rican,1
70,male,naturalized citizen,cuban,54
70,male,naturalized citizen,other,137
70,female,born abroad of american parents,not hispanic,95
70,female,born abroad of american parents,mexican,10
70,female,born abroad of american parents,cuban,2
70,female,born abroad of american parents,other,6
70,female,naturalized citizen,not hispanic,1350
70,female,naturalized citizen,mexican,193
70,female,naturalized citizen,puerto rican,2
70,female,naturalized citizen,cuban,83
70,female,naturalized citizen,other,192
71,male,born abroad of american parents,not hispanic,85
71,male,born abroad of american parents,mexican,9
71,male,born abroad of american parents,cuban,1
71,male,born abroad of american parents,other,5
71,male,naturalized citizen,not hispanic,1161
71,male,naturalized citizen,mexican,196
71,male,naturalized citizen,puerto rican,4
71,male,naturalized citizen,cuban,55
71,male,naturalized citizen,other,133
71,female,born abroad of american parents,not hispanic,74
71,female,born abroad of american parents,mexican,12
71,female,born abroad of american parents,cuban,2
71,female,born abroad of american parents,other,2
71,female,naturalized citizen,not hispanic,1370
71,female,naturalized citizen,mexican,216
71,female,naturalized citizen,puerto rican,4
71,female,naturalized citizen,cuban,75
71,female,naturalized citizen,other,211
72,male,born abroad of american parents,not hispanic,60
72,male,born abroad of american parents,mexican,4
72,male,born abroad of american parents,other,2
72,male,naturalized citizen,not hispanic,1094
72,male,naturalized citizen,mexican,183
72,male,naturalized citizen,puerto rican,4
72,male,naturalized citizen,cuban,64
72,male,naturalized citizen,other,116
72,female,born abroad of american parents,not hispanic,81
72,female,born abroad of american parents,mexican,7
72,female,born abroad of american parents,other,3
72,female,naturalized citizen,not hispanic,1306
72,female,naturalized citizen,mexican,199
72,female,naturalized citizen,puerto rican,4
72,female,naturalized citizen,cuban,61
72,female,naturalized citizen,other,192
73,male,born abroad of american parents,not hispanic,64
73,male,born abroad of american parents,mexican,5
73,male,born abroad of american parents,puerto rican,1
73,male,born abroad of american parents,cuban,1
73,male,born abroad of american parents,other,4
73,male,naturalized citizen,not hispanic,888
73,male,naturalized citizen,mexican,164
73,male,naturalized citizen,puerto rican,3
73,male,naturalized citizen,cuban,68
73,male,naturalized citizen,other,125
73,female,born abroad of american parents,not hispanic,83
73,female,born abroad of american parents,mexican,4
73,female,born abroad of american parents,puerto rican,1
73,female,born abroad of american parents,cuban,1
73,female,born abroad of american parents,other,2
73,female,naturalized citizen,not hispanic,1103
73,female,naturalized citizen,mexican,188
73,female,naturalized citizen,puerto rican,5
73,female,naturalized citizen,cuban,69
73,female,naturalized citizen,other,189
74,male,born abroad of american parents,not hispanic,55
74,male,born abroad of american parents,mexican,4
74,male,born abroad of american parents,puerto rican,1
74,male,born abroad of american parents,other,1
74,male,naturalized citizen,not hispanic,805
74,male,naturalized citizen,mexican,129
74,male,naturalized citizen,puerto rican,4
74,male,naturalized citizen,cuban,63
74,male,naturalized citizen,other,100
74,female,born abroad of american parents,not hispanic,43
74,female,born abroad of american parents,mexican,9
74,female,born abroad of american parents,puerto rican,1
74,female,born abroad of american parents,other,4
74,female,naturalized citizen,not hispanic,1056
74,female,naturalized citizen,mexican,178
74,female,naturalized citizen,puerto rican,1
74,female,naturalized citizen,cuban,58
74,female,naturalized citizen,other,151
75,male,born abroad of american parents,not hispanic,36
75,male,born abroad of american parents,mexican,8
75,male,born abroad of american parents,puerto rican,2
75,male,born abroad of american parents,cuban,2
75,male,born abroad of american parents,other,2
75,male,naturalized citizen,not hispanic,781
75,male,naturalized citizen,mexican,136
75,male,naturalized citizen,puerto rican,5
75,male,naturalized citizen,cuban,41
75,male,naturalized citizen,other,106
75,female,born abroad of american parents,not hispanic,46
75,female,born abroad of american parents,mexican,5
75,female,born abroad of american parents,other,4
75,female,naturalized citizen,not hispanic,959
75,female,naturalized citizen,mexican,167
75,female,naturalized citizen,puerto rican,5
75,female,naturalized citizen,cuban,66
75,female,naturalized citizen,other,173
76,male,born abroad of american parents,not hispanic,15
76,male,born abroad of american parents,mexican,5
76,male,born abroad of american parents,other,3
76,male,naturalized citizen,not hispanic,678
76,male,naturalized citizen,mexican,126
76,male,naturalized citizen,puerto rican,1
76,male,naturalized citizen,cuban,62
76,male,naturalized citizen,other,72
76,female,born abroad of american parents,not hispanic,27
76,female,born abroad of american parents,mexican,3
76,female,born abroad of american parents,cuban,1
76,female,born abroad of american parents,other,1
76,female,naturalized citizen,not hispanic,890
76,female,naturalized citizen,mexican,144
76,female,naturalized citizen,puerto rican,8
76,female,naturalized citizen,cuban,55
76,female,naturalized citizen,other,167
77,male,born abroad of american parents,not hispanic,28
77,male,born abroad of american parents,mexican,4
77,male,naturalized citizen,not hispanic,697
77,male,naturalized citizen,mexican,131
77,male,naturalized citizen,puerto rican,1
77,male,naturalized citizen,cuban,53
77,male,naturalized citizen,other,85
77,female,born abroad of american parents,not hispanic,25
77,female,born abroad of american parents,mexican,5
77,female,born abroad of american parents,cuban,1
77,female,born abroad of american parents,other,1
77,female,naturalized citizen,not hispanic,806
77,female,naturalized citizen,mexican,129
77,female,naturalized citizen,puerto rican,3
77,female,naturalized citizen,cuban,58
77,female,naturalized citizen,other,119
78,male,born abroad of american parents,not hispanic,25
78,male,born abroad of american parents,mexican,4
78,male,born abroad of american parents,puerto rican,2
78,male,born abroad of american parents,other,1
78,male,naturalized citizen,not hispanic,624
78,male,naturalized citizen,mexican,94
78,male,naturalized citizen,puerto rican,1
78,male,naturalized citizen,cuban,50
78,male,naturalized citizen,other,70
78,female,born abroad of american parents,not hispanic,39
78,female,born abroad of american parents,mexican,3
78,female,born abroad of american parents,other,3
78,female,naturalized citizen,not hispanic,835
78,female,naturalized citizen,mexican,149
78,female,naturalized citizen,cuban,52
78,female,naturalized citizen,other,176
79,male,born abroad of american parents,not hispanic,31
79,male,born abroad of american parents,mexican,1
79,male,born abroad of american parents,cuban,1
79,male,born abroad of american parents,other,1
79,male,naturalized citizen,not hispanic,610
79,male,naturalized citizen,mexican,108
79,male,naturalized citizen,puerto rican,1
79,male,naturalized citizen,cuban,43
79,male,naturalized citizen,other,66
79,female,born abroad of american parents,not hispanic,30
79,female,born abroad of american parents,mexican,4
79,female,born abroad of american parents,puerto rican,1
79,female,born abroad of american parents,cuban,1
79,female,born abroad of american parents,other,2
79,female,naturalized citizen,not hispanic,793
79,female,naturalized citizen,mexican,114
79,female,naturalized citizen,puerto rican,3
79,female,naturalized citizen,cuban,82
79,female,naturalized citizen,other,114
80,male,born abroad of american parents,not hispanic,18
80,male,born abroad of american parents,mexican,2
80,male,born abroad of american parents,cuban,3
80,male,naturalized citizen,not hispanic,535
80,male,naturalized citizen,mexican,77
80,male,naturalized citizen,puerto rican,3
80,male,naturalized citizen,cuban,48
80,male,naturalized citizen,other,72
80,female,born abroad of american parents,not hispanic,33
80,female,born abroad of american parents,mexican,2
80,female,born abroad of american parents,cuban,1
80,female,naturalized citizen,not hispanic,750
80,female,naturalized citizen,mexican,121
80,female,naturalized citizen,puerto rican,3
80,female,naturalized citizen,cuban,57
80,female,naturalized citizen,other,87
81,male,born abroad of american parents,not hispanic,28
81,male,born abroad of american parents,mexican,6
81,male,born abroad of american parents,cuban,1
81,male,born abroad of american parents,other,1
81,male,naturalized citizen,not hispanic,525
81,male,naturalized citizen,mexican,76
81,male,naturalized citizen,puerto rican,4
81,male,naturalized citizen,cuban,47
81,male,naturalized citizen,other,54
81,female,born abroad of american parents,not hispanic,23
81,female,born abroad of american parents,mexican,3
81,female,born abroad of american parents,other,4
81,female,naturalized citizen,not hispanic,732
81,female,naturalized citizen,mexican,115
81,female,naturalized citizen,puerto rican,3
81,female,naturalized citizen,cuban,65
81,female,naturalized citizen,other,100
82,male,born abroad of american parents,not hispanic,16
82,male,born abroad of american parents,mexican,3
82,male,born abroad of american parents,cuban,1
82,male,born abroad of american parents,other,3
82,male,naturalized citizen,not hispanic,463
82,male,naturalized citizen,mexican,53
82,male,naturalized citizen,puerto rican,3
82,male,naturalized citizen,cuban,50
82,male,naturalized citizen,other,60
82,female,born abroad of american parents,not hispanic,32
82,female,born abroad of american parents,mexican,4
82,female,born abroad of american parents,cuban,1
82,female,naturalized citizen,not hispanic,619
82,female,naturalized citizen,mexican,81
82,female,naturalized citizen,puerto rican,2
82,female,naturalized citizen,cuban,62
82,female,naturalized citizen,other,101
83,male,born abroad of american parents,not hispanic,30
83,male,born abroad of american parents,mexican,2
83,male,naturalized citizen,not hispanic,477
83,male,naturalized citizen,mexican,58
83,male,naturalized citizen,puerto rican,2
83,male,naturalized citizen,cuban,46
83,male,naturalized citizen,other,46
83,female,born abroad of american parents,not hispanic,31
83,female,born abroad of american parents,mexican,2
83,female,born abroad of american parents,cuban,1
83,female,naturalized citizen,not hispanic,627
83,female,naturalized citizen,mexican,102
83,female,naturalized citizen,puerto rican,1
83,female,naturalized citizen,cuban,60
83,female,naturalized citizen,other,100
84,male,born abroad of american parents,not hispanic,21
84,male,born abroad of american parents,mexican,1
84,male,naturalized citizen,not hispanic,356
84,male,naturalized citizen,mexican,49
84,male,naturalized citizen,puerto rican,2
84,male,naturalized citizen,cuban,38
84,male,naturalized citizen,other,59
84,female,born abroad of american parents,not hispanic,31
84,female,born abroad of american parents,mexican,1
84,female,naturalized citizen,not hispanic,558
84,female,naturalized citizen,mexican,87
84,female,naturalized citizen,puerto rican,2
84,female,naturalized citizen,cuban,50
84,female,naturalized citizen,other,62
85,male,born abroad of american parents,not hispanic,21
85,male,born abroad of american parents,mexican,1
85,male,naturalized citizen,not hispanic,323
85,male,naturalized citizen,mexican,47
85,male,naturalized citizen,puerto rican,2
85,male,naturalized citizen,cuban,32
85,male,naturalized citizen,other,48
85,female,born abroad of american parents,not hispanic,20
85,female,born abroad of american parents,mexican,1
85,female,born abroad of american parents,other,1
85,female,naturalized citizen,not hispanic,475
85,female,naturalized citizen,mexican,73
85,female,naturalized citizen,puerto rican,2
85,female,naturalized citizen,cuban,68
85,female,naturalized citizen,other,65
86,male,born abroad of american parents,not hispanic,14
86,male,born abroad of american parents,mexican,3
86,male,naturalized citizen,not hispanic,319
86,male,naturalized citizen,mexican,39
86,male,naturalized citizen,cuban,25
86,male,naturalized citizen,other,33
86,female,born abroad of american parents,not hispanic,23
86,female,born abroad of american parents,mexican,2
86,female,naturalized citizen,not hispanic,496
86,female,naturalized citizen,mexican,65
86,female,naturalized citizen,puerto rican,1
86,female,naturalized citizen,cuban,53
86,female,naturalized citizen,other,72
87,male,born abroad of american parents,not hispanic,21
87,male,born abroad of american parents,other,2
87,male,naturalized citizen,not hispanic,271
87,male,naturalized citizen,mexican,45
87,male,naturalized citizen,cuban,30
87,male,naturalized citizen,other,34
87,female,born abroad of american parents,not hispanic,21
87,female,born abroad of american parents,mexican,1
87,female,born abroad of american parents,other,2
87,female,naturalized citizen,not hispanic,383
87,female,naturalized citizen,mexican,64
87,female,naturalized citizen,puerto rican,1
87,female,naturalized citizen,cuban,35
87,female,naturalized citizen,other,48
88,male,born abroad of american parents,not hispanic,15
88,male,born abroad of american parents,mexican,1
88,male,naturalized citizen,not hispanic,228
88,male,naturalized citizen,mexican,25
88,male,naturalized citizen,cuban,27
88,male,naturalized citizen,other,27
88,female,born abroad of american parents,not hispanic,16
88,female,born abroad of american parents,mexican,4
88,female,born abroad of american parents,other,5
88,female,naturalized citizen,not hispanic,351
88,female,naturalized citizen,mexican,41
88,female,naturalized citizen,puerto rican,4
88,female,naturalized citizen,cuban,51
88,female,naturalized citizen,other,54
89,male,born abroad of american parents,not hispanic,16
89,male,naturalized citizen,not hispanic,196
89,male,naturalized citizen,mexican,26
89,male,naturalized citizen,puerto rican,2
89,male,naturalized citizen,cuban,31
89,male,naturalized citizen,other,14
89,female,born abroad of american parents,not hispanic,17
89,female,born abroad of american parents,cuban,1
89,female,naturalized citizen,not hispanic,351
89,female,naturalized citizen,mexican,44
89,female,naturalized citizen,puerto rican,2
89,female,naturalized citizen,cuban,27
89,female,naturalized citizen,other,41
90,male,born abroad of american parents,not hispanic,10
90,male,born abroad of american parents,cuban,1
90,male,naturalized citizen,not hispanic,151
90,male,naturalized citizen,mexican,12
90,male,naturalized citizen,cuban,13
90,male,naturalized citizen,other,12
90,female,born abroad of american parents,not hispanic,7
90,female,born abroad of american parents,puerto rican,1
90,female,born abroad of american parents,cuban,1
90,female,naturalized citizen,not hispanic,335
90,female,naturalized citizen,mexican,24
90,female,naturalized citizen,puerto rican,3
90,female,naturalized citizen,cuban,33
90,female,naturalized citizen,other,36
91,male,born abroad of american parents,not hispanic,10
91,male,naturalized citizen,not hispanic,114
91,male,naturalized citizen,mexican,14
91,male,naturalized citizen,puerto rican,1
91,male,naturalized citizen,cuban,20
91,male,naturalized citizen,other,17
91,female,born abroad of american parents,not hispanic,11
91,female,born abroad of american parents,puerto rican,1
91,female,born abroad of american parents,other,1
91,female,naturalized citizen,not hispanic,253
91,female,naturalized citizen,mexican,18
91,female,naturalized citizen,puerto rican,1
91,female,naturalized citizen,cuban,33
91,female,naturalized citizen,other,28
92,male,born abroad of american parents,not hispanic,3
92,male,naturalized citizen,not hispanic,52
92,male,naturalized citizen,mexican,1
92,male,naturalized citizen,cuban,15
92,male,naturalized citizen,other,9
92,female,born abroad of american parents,not hispanic,14
92,female,naturalized citizen,not hispanic,99
92,female,naturalized citizen,cuban,36
92,female,naturalized citizen,other,11
93,male,born abroad of american parents,not hispanic,4
93,male,born abroad of american parents,other,1
93,male,naturalized citizen,not hispanic,35
93,male,naturalized citizen,mexican,19
93,male,naturalized citizen,cuban,3
93,male,naturalized citizen,other,1
93,female,born abroad of american parents,not hispanic,7
93,female,born abroad of american parents,mexican,2
93,female,naturalized citizen,not hispanic,84
93,female,naturalized citizen,mexican,48
93,female,naturalized citizen,cuban,4
93,female,naturalized citizen,other,11
94,male,born abroad of american parents,not hispanic,2
94,male,born abroad of american parents,puerto rican,1
94,male,naturalized citizen,not hispanic,33
94,male,naturalized citizen,mexican,3
94,male,naturalized citizen,other,2
94,female,born abroad of american parents,not hispanic,3
94,female,naturalized citizen,not hispanic,90
94,female,naturalized citizen,mexican,4
94,female,naturalized citizen,cuban,2
94,female,naturalized citizen,other,6
95,male,born abroad of american parents,not hispanic,15
95,male,born abroad of american parents,mexican,3
95,male,born abroad of american parents,cuban,1
95,male,naturalized citizen,not hispanic,257
95,male,naturalized citizen,mexican,35
95,male,naturalized citizen,cuban,8
95,male,naturalized citizen,other,20
95,female,born abroad of american parents,not hispanic,36
95,female,born abroad of american parents,mexican,3
95,female,naturalized citizen,not hispanic,602
95,female,naturalized citizen,mexican,63
95,female,naturalized citizen,cuban,8
95,female,naturalized citizen,other,46
96,male,born abroad of american parents,not hispanic,10
96,male,born abroad of american parents,cuban,1
96,male,naturalized citizen,not hispanic,132
96,male,naturalized citizen,mexican,1
96,male,naturalized citizen,puerto rican,1
96,male,naturalized citizen,cuban,35
96,male,naturalized citizen,other,7
96,female,born abroad of american parents,not hispanic,15
96,female,naturalized citizen,not hispanic,281
96,female,naturalized citizen,mexican,3
96,female,naturalized citizen,puerto rican,2
96,female,naturalized citizen,cuban,74
96,female,naturalized citizen,other,52
97,male,born abroad of american parents,not hispanic,1
97,male,naturalized citizen,not hispanic,12
97,female,naturalized citizen,not hispanic,36
